id,name,number,latitude,longitude
7338653551721415351,Anaghana (Northbound),230071,51.99655,-8.88946
7338653551721420591,Anaghana (Southbound),235311,51.99647,-8.88961
7338653551721520131,Annacarthy (National School),334851,52.56567,-8.11279
7338653551721520431,Annacarthy (Opp National School),335151,52.56557,-8.11293
7338653551721340751,Annacotty Bridge (Mulcair Drive),155471,52.66881,-8.53113
7338653551721340741,Annacotty Bridge (Southbound),155461,52.66959,-8.52583
7338653551721741591,Annaduff Church (Church),556311,53.90133,-7.95652
7338653551721741451,Annaduff Church (Opp church),556171,53.90133,-7.9565
7338653551721294941,Annagassan (Opp The Glyde Inn),109661,53.8822,-6.34278
7338653551721292321,Annagassan (The Glyde Inn),107041,53.88237,-6.34299
7338653551721292371,Annaghvacky (Opp Shop),107091,54.03524,-6.54635
7338653551721318771,Annalecky Cross (Opp Old Tallhouse),133491,53.03736,-6.63533
7338653551721321471,Annalecky Cross (The Old Tallhouse),136191,53.03726,-6.63546
7338653551721324681,Annaloughan (Northbound),139401,54.00224,-6.27676
7338653551721822151,Annascaul (O Domhnaills Shop),636871,52.15135,-10.05529
7338653551721820981,Annascaul (Opp O Domhnaills Shop),635701,52.15128,-10.05524
7338653551721545311,Annascaul Cross (eastbound),360031,52.14855,-10.06103
7338653551721537281,Annascaul Cross (westbound),352001,52.14832,-10.06091
7338653551721294381,Annyalla (Opp Church),109101,54.16166,-6.79218
7338653551721290531,Annyalla Church,105251,54.16141,-6.79121
7338653551721537731,Arbour Road (Convent side),352451,52.25332,-7.13018
7338653551721537741,Arbour Road (Western end),352461,52.25262,-7.13339
7338653551721641311,Arcadia (Arcadia Crescent),456031,53.43169,-7.93005
7338653551721641301,Arcadia (B & Q),456021,53.43238,-7.93792
7338653551721641121,Arcadia (Sli An Aifrinn),455841,53.43149,-7.93158
7338653551721641131,Arcadia (Temple Printing),455851,53.43228,-7.93813
7338653551721538171,Ard na Greine (Outside No 23),352891,52.25759,-7.12844
7338653551721736701,Ardagh Cross (Eastbound),551421,54.12046,-9.22137
7338653551721739881,Ardagh Cross (Westbound),545501,54.12045,-9.22144
7338653551721326391,Ardaghey Crossroads (Eastbound),141111,54.65386,-8.28581
7338653551721325541,Ardaghey Crossroads (Westbound),140261,54.65385,-8.28585
7338653551721515981,Ardamaine (Opp Parklands),330701,52.62528,-6.23177
7338653551721516051,Ardamaine (Parklands),330771,52.62528,-6.23177
7338653551721327901,Ardara (Heritage Centre),142621,54.7623,-8.41482
7338653551721325901,Ardara (Opp Heritage Centre),140621,54.7623,-8.41482
7338653551721337741,Ardee (By Pass Eastbound),152461,53.86474,-6.5413
7338653551721337711,Ardee (By Pass Northbound),152431,53.86471,-6.54157
7338653551721294041,Ardee (Church of the Nativity),108761,53.85256,-6.53824
7338653551721337721,Ardee (Fair Green),152441,53.86013,-6.54171
7338653551721337591,Ardee (Finlays),152311,53.86002,-6.54123
7338653551721294741,Ardee (Lidl),109461,53.84548,-6.53863
7338653551721294051,Ardee (Monastery National School),108771,53.85233,-6.53858
7338653551721294871,Ardee (Sliabh Breagh),109591,53.84693,-6.53903
7338653551721821911,Ardfert (Abbey Tavern),636631,52.32721,-9.78127
7338653551721516981,Ardfert (Playground),331701,52.32797,-9.78098
7338653551721435381,Ardfinnan (Greenview Bar),250101,52.3092,-7.88387
7338653551721435411,Ardfinnan (Town Park),250131,52.30923,-7.88507
7338653551721822781,Ardgroom (Post Office),637501,51.73478,-9.89663
7338653551721640671,Ardgroom (Village Inn),455391,51.73384,-9.89682
7338653551721323081,Ardlougher (Eastbound),137801,54.06281,-7.57762
7338653551721742731,Ardlougher (Westbound),557451,54.06273,-7.57772
7338653551721416171,Ardmore (Open Farm Eastbound),230891,51.96871,-7.76504
7338653551721429901,Ardmore (Opp Open Farm),244621,51.96877,-7.76491
7338653551721429881,Ardmore (Opp Post Office),244601,51.9509,-7.72456
7338653551721429871,Ardmore (Opp School),244591,51.95177,-7.73171
7338653551721515381,Ardmore (Post Office),330101,51.95087,-7.72476
7338653551721429891,Ardmore (School),244611,51.95166,-7.73128
7338653551721517341,Ardnacrusha (ESB Station Car Park),332061,52.70695,-8.61871
7338653551721519091,Ardnacrusha (Lakyle Heights),333811,52.70839,-8.61042
7338653551721519081,Ardnacrusha (Opp Lakyle Heights),333801,52.70828,-8.61069
7338653551721816501,Ardrahan (Garda Station),631221,53.15671,-8.80615
7338653551721740901,Ardrahan (Opp Garda Station),555621,53.1567,-8.80616
7338653551721187151,Arklow (Bus Parking),1871,52.79303,-6.15889
7338653551721187152,Arklow (Bus Parking),1872,52.79303,-6.15889
7338653551721320811,Arklow (Euro Shop),135531,52.79836,-6.15688
7338653551721536771,Arklow (Ferrybank Church),351491,52.80082,-6.14829
7338653551721291401,Arklow (Ferrybank EBS),106121,52.80101,-6.14814
7338653551721540461,Arklow (Knockmore northbound stop),355181,52.78582,-6.16869
7338653551721540451,Arklow (Knockmore southbound stop),355171,52.78582,-6.1685
7338653551721536761,Arklow (Lidl),351481,52.79548,-6.16254
7338653551721540491,Arklow (Opp Lidl),355211,52.79541,-6.16247
7338653551721320821,Arklow (Tourist Office),135541,52.79813,-6.15805
7338653551721706021,Armstrongs Cross (Northbound),520741,54.00502,-9.12693
7338653551721816651,Armstrongs Cross (Southbound),631371,54.00467,-9.12685
7338653551721790851,Arthurs Quay (Opp Shopping Centre),605571,52.66546,-8.62623
7338653551721742751,Arva (JW Tavern Main St),557471,53.9233,-7.5824
7338653551721742591,Arva (Market Square),557311,53.92322,-7.58222
7338653551721337701,Ashbourne (AIB),152421,53.51135,-6.39766
7338653551721322371,Ashbourne (Community Centre),137091,53.5038,-6.39083
7338653551721286261,Ashbourne (Credit Union),100981,53.51372,-6.4016
7338653551721287131,Ashbourne (Garden City Stop),101851,53.50887,-6.39592
7338653551721286271,Ashbourne (Johns Wood),100991,53.51629,-6.40623
7338653551721318911,Ashbourne (Kelly's),133631,53.51129,-6.39747
7338653551721286241,Ashbourne (Opp Campus s/station),100961,53.5047,-6.39174
7338653551721286331,Ashbourne (Opp Dunnes Stores),101051,53.51356,-6.40118
7338653551721286321,Ashbourne (Opp Johns Wood),101041,53.51678,-6.40661
7338653551721286281,Ashbourne (Opp Pillo Hotel),101001,53.52464,-6.41468
7338653551721321011,Ashbourne (Pillo Hotel),135731,53.52463,-6.41463
7338653551721291801,Ashbourne (The Briars Northbound),106521,53.49976,-6.38743
7338653551721291811,Ashbourne (The Briars Southbound),106531,53.49987,-6.38741
7338653551721286501,Ashbourne (The Bridge),101221,53.50858,-6.39576
7338653551721537481,Ashe Road (Opp Hennessys Road),352201,52.24951,-7.12743
7338653551721291431,Ashford (Ashford House),106151,53.01234,-6.10795
7338653551721291421,Ashford (Ballinalea Northbound),106141,53.00568,-6.10365
7338653551721287681,Ashford (Ballinalea),102401,53.00558,-6.10324
7338653551721287671,Ashford (Romany Stone),102391,53.01298,-6.10744
7338653551721431781,Ashmount (Opp Crescent),246501,51.90991,-8.41994
7338653551721431761,Ashmount (Opp Junction),246481,51.90957,-8.41961
7338653551721431771,Ashmount (Turning Circle),246491,51.90806,-8.41954
7338653551721517421,Askeaton (East Square),332141,52.60036,-8.97289
7338653551721520771,Askeaton (Opp East Square),335491,52.60045,-8.97297
7338653551721186992,Athboy (Bus Parking),1712,53.62273,-6.90981
7338653551721186991,Athboy (Bus Parking),1711,53.62277,-6.90985
7338653551721321171,Athboy (Darnley Lodge),135891,53.62191,-6.92066
7338653551721288301,Athboy (Opp Darnley Lodge),103021,53.62174,-6.921
7338653551721715621,Athleague (Opp Waldrons Bar),530341,53.56761,-8.25692
7338653551721715401,Athleague (Waldrons Bar),530121,53.5677,-8.25702
7338653551721185401,Athlone (Bus Depot),121,53.42638,-7.93656
7338653551721185402,Athlone (Bus Depot),122,53.42638,-7.93656
7338653551721740381,Athlone (Bus Station),555101,53.4266,-7.93521
7338653551721685501,Athlone (Golden Island SC),500221,53.42095,-7.93479
7338653551721641341,Athlone (SS Peter & Paul Church),456061,53.42419,-7.94364
7338653551721790861,Athlunkard St (Dick Devanes Corner),605581,52.66819,-8.62224
7338653551721790871,Athlunkard St (No 16),605591,52.6691,-8.61942
7338653551721792081,Athlunkard St (No 29),606801,52.66913,-8.61915
7338653551721792091,Athlunkard St (Opp St Marys Cathedral),606811,52.66774,-8.62301
7338653551721321701,Athy (C Bar Leinster Street),136421,52.99234,-6.9843
7338653551721320861,Athy (Duke Street),135581,52.99153,-6.98738
7338653551722175531,Attymas (Church),542421,54.05143,-9.0814
7338653551721727691,Attymas (Opp Church),542411,54.05143,-9.0814
7338653551721429331,Audley Place (Lansdowne Court),244051,51.90557,-8.46923
7338653551721821831,Aughacasla (Carriganeen Estate),636551,52.23652,-9.98181
7338653551721821241,Aughacasla (Opp Carriganeen Estate),635961,52.23663,-9.98188
7338653551721715421,Aughaderry Cross (Old School Hse),530141,53.83261,-8.57148
7338653551721715431,Aughaderry Cross (Opp Old School),530151,53.83264,-8.57145
7338653551721756361,Aughavas (Cemetery),571081,53.96062,-7.71829
7338653551721756281,Aughavas (McCaffreys Pub),571001,53.95802,-7.72602
7338653551721756371,Aughavas (Opp Cemetery),571091,53.96059,-7.71838
7338653551721756351,Aughavas (Opp McCaffreys Pub),571071,53.95809,-7.72606
7338653551721400431,Aughaville (O Driscolls Pub),215151,51.65253,-9.34423
7338653551721415401,Aughaville (Opp O Driscolls Pub Westboun,230121,51.65236,-9.34394
7338653551721744491,Aughleam (Church),592511,54.11722,-10.10134
7338653551721243501,Aughleam (Opp Church),582201,54.11721,-10.10138
7338653551721746371,Aughnacliffe (Houricans Pub),561091,53.85105,-7.60386
7338653551721746311,Aughnacliffe (Opp Houricans Pub),561031,53.85103,-7.60396
7338653551721341871,Aughnacloy (Dew Drop Inn),156591,54.41531,-6.97724
7338653551721341291,Aughnacloy (Toals Bookmaker),156011,54.41544,-6.97718
7338653551721336001,Aughrim (Galway) (Emo Station),150721,53.30148,-8.31954
7338653551721717481,Aughrim (Galway) (Opp Emo Station),532201,53.30181,-8.31849
7338653551721316661,Avoca (Bridge),131381,52.85843,-6.21538
7338653551721291731,Avoca (Opp Bridge),106451,52.85708,-6.21596
7338653551721495481,Avondale Est (Old Tramore Rd),310201,52.23706,-7.11424
7338653551721794651,Avonmore Rd (Eircom Building),609371,52.62898,-8.65144
7338653551721793331,Avonmore Rd (Opp Eircom Building),608051,52.62903,-8.65149
7338653551721316411,Bailieboro (Bailie Hotel),131131,53.91608,-6.96958
7338653551721316191,Bailieboro (Opp Bailie Hotel),130911,53.91623,-6.96936
7338653551721421851,Bakers Rd (Opp Garda Stn),236571,51.90363,-8.49507
7338653551721399001,Bakers Rd (St Marys Hospital),213721,51.90495,-8.4962
7338653551721285991,Balbriggan (Apache Pizza),100711,53.61141,-6.18614
7338653551721318481,Balbriggan (Bank of Ireland),133201,53.60728,-6.18342
7338653551721285581,Balbriggan (Bath Rd Service Station),100301,53.61348,-6.18935
7338653551721290331,Balbriggan (Bath Road),105051,53.61291,-6.18858
7338653551721285561,Balbriggan (Car Park),100281,53.60444,-6.18442
7338653551721322251,Balbriggan (Community Centre),136971,53.60737,-6.18349
7338653551721285571,Balbriggan (Community College),100291,53.61141,-6.18629
7338653551721285591,Balbriggan (Garda Station),100311,53.61592,-6.19241
7338653551721286011,Balbriggan (Golf Club),100731,53.59574,-6.1833
7338653551721285541,Balbriggan (Opp Golf Club),100261,53.59678,-6.18349
7338653551721285551,Balbriggan (Opp Wavin),100271,53.60183,-6.18522
7338653551721322411,Balbriggan (Opposite Garda Station),137131,53.61529,-6.19138
7338653551721320021,Balbriggan (Rail Station),134741,53.61167,-6.18279
7338653551721322391,Balbriggan (St Peter and Paul Church),137111,53.60397,-6.1845
7338653551721286001,Balbriggan (Wavin),100721,53.60027,-6.18551
7338653551721524841,Baldwinstown (Opp Wheelhouse),339561,52.23584,-6.58424
7338653551721524891,Baldwinstown (Wheelhouse),339611,52.2359,-6.58437
7338653551721741171,Balla (Community Centre),555891,53.80523,-9.13073
7338653551721336321,Balla (Opp Community Centre),151041,53.80471,-9.13051
7338653551721326961,Ballaghaderreen (BMW Office),141681,53.90182,-8.57887
7338653551721715441,Ballaghaderreen (Hanleys),530161,53.90182,-8.57886
7338653551721715371,Ballaghaunbeag (Northbound),530091,53.68791,-8.52742
7338653551721715381,Ballaghaunbeag (Southbound),530101,53.68784,-8.52748
7338653551721735451,Ballaghlea School (Eastbound),550171,53.51205,-8.38748
7338653551721735461,Ballaghlea School (Westbound),550181,53.51178,-8.38742
7338653551721185381,Ballina (Bus Depot),101,54.11097,-9.16017
7338653551721185382,Ballina (Bus Depot),102,54.11081,-9.16016
7338653551721740331,Ballina (Bus Station),555051,54.11083,-9.16021
7338653551721743421,Ballina (Culleens Northbound),558141,54.13768,-9.16601
7338653551721742431,Ballina (Culleens Southbound),557151,54.13759,-9.16595
7338653551721744981,Ballina (Dunnes Stores),597051,54.11637,-9.15342
7338653551721517071,Ballina (North Tipperary (Opp Church),331791,52.8076,-8.43647
7338653551721820771,Ballina (North Tipperary) (Church),635491,52.80756,-8.43632
7338653551721421691,Ballinabearna Cross (northbound stop),236411,51.81263,-8.49516
7338653551721417381,Ballinabearna Cross (southbound stop),232101,51.81255,-8.49489
7338653551721516161,Ballinaboola (Horse and Hound Inn),330881,52.3695,-6.838
7338653551721516911,Ballinaboola (Topaz Garage),331631,52.36981,-6.83855
7338653551721735481,Ballinacarrow (Fallons),550201,54.13387,-8.56103
7338653551721735491,Ballinacarrow (Opp Fallons),550211,54.1338,-8.56094
7338653551721430221,Ballinacurra (Castleredmond),244941,51.90159,-8.16671
7338653551721430231,Ballinacurra (Cloyne Rd Jctn),244951,51.89897,-8.16605
7338653551721792811,Ballinacurra (Lifford Lodge),607531,52.6477,-8.63859
7338653551721430241,Ballinacurra (Main Rd Opp Mt Pleasant),244961,51.90031,-8.16688
7338653551721792801,Ballinacurra (No 5),607521,52.64662,-8.64081
7338653551721395421,Ballinacurra (Opp Hydes Park),210141,51.89432,-8.16597
7338653551721425271,Ballinacurra (Opp South Quay Jctn),239991,51.89815,-8.16714
7338653551721792791,Ballinacurra (Opp St Aubin),607511,52.64472,-8.64499
7338653551721793041,Ballinacurra (Sandyville),607761,52.64773,-8.63835
7338653551721422791,Ballinacurra (South Qy Jctn Northbound),237511,51.89819,-8.16756
7338653551721793051,Ballinacurra (Tall Trees),607771,52.64596,-8.6422
7338653551721792351,Ballinacurra Road (At Flyover),607071,52.64396,-8.64582
7338653551721316671,Ballinagar,131391,53.26587,-7.33855
7338653551721290131,Ballinagar Eastbound,104851,53.26621,-7.33695
7338653551721326991,Ballinagare (N5 Eastbound stop),141711,53.83731,-8.38244
7338653551721290321,Ballinagare (N5 Westbound stop),105041,53.83733,-8.38256
7338653551721742631,Ballinagh (Cronins Pub),557351,53.93146,-7.40891
7338653551721290221,Ballinagh (Opp Cronins Pub),104941,53.93161,-7.40847
7338653551721744311,Ballinaglera (Opp Ryans Pub),559031,54.15592,-8.00971
7338653551721415451,Ballinagree (Northbound),230171,51.9767,-8.92602
7338653551721420561,Ballinagree (Southbound),235281,51.97665,-8.92589
7338653551721419851,Ballinahina (Old Creamery),234571,51.9522,-8.46728
7338653551721419841,Ballinahina (Opp Old Creamery),234561,51.95228,-8.46738
7338653551721531331,Ballinahinch Cross (eastbound),346051,52.87919,-8.66681
7338653551721522941,Ballinahinch Cross (westbound),337661,52.87919,-8.66698
7338653551721543691,Ballinahown (Church),358411,53.34961,-7.84733
7338653551721343451,Ballinahown (Opposite Church),158171,53.34959,-7.84755
7338653551721316551,Ballinalack (Mulligans),131271,53.62821,-7.46973
7338653551721289721,Ballinalack (Opp Mulligans),104441,53.62827,-7.46981
7338653551721715511,Ballinalacken Castle (Main Gate),530231,53.04613,-9.34108
7338653551721531211,Ballinalacken Castle (Opp Main Gate),345931,53.04647,-9.3416
7338653551721744631,Ballinamore (AIB Main St),559351,54.05247,-7.80207
7338653551721744291,Ballinamore (Lawrences Main St),559011,54.05244,-7.80176
7338653551721741411,Ballinamuck (Church),556131,53.8659,-7.71752
7338653551721741461,Ballinamuck (McKennas Gala),556181,53.8659,-7.71738
7338653551721415671,Ballinascarthy (Henry Ford Tavern),230391,51.67018,-8.85719
7338653551721400591,Ballinascarthy (Opp Henry Ford Tavern),215311,51.67007,-8.85743
7338653551721740701,Ballinasloe (Haydens Hotel Dunlo St),555421,53.32877,-8.22295
7338653551721335981,Ballinasloe (Pauls Pub Dunlo St),150701,53.32879,-8.22298
7338653551721715541,Ballinastack (Gills Bar),530261,53.44982,-8.81795
7338653551721715571,Ballinastack (Opp Gills Bar),530291,53.44985,-8.81792
7338653551721743611,Ballincar (Opp Radisson Hotel),558331,54.29809,-8.50024
7338653551721743721,Ballincar (Radisson Hotel),558441,54.2982,-8.50021
7338653551721429581,Ballincollig (East Gate),244301,51.88872,-8.58343
7338653551721417741,Ballincollig (Iniscarra View),232461,51.88984,-8.57371
7338653551721417751,Ballincollig (Jctn Barrys Road),232471,51.88669,-8.60458
7338653551721543021,Ballincollig (Main St Supervalu),357741,51.88797,-8.58979
7338653551721429481,Ballincollig (Opp Fr Sexton Park),244201,51.88867,-8.58318
7338653551721417761,Ballincollig (Opp Jctn Barrys Road),232481,51.88666,-8.60465
7338653551721429591,Ballincollig (Opp Rosewood Est),244311,51.88996,-8.57499
7338653551721417701,Ballincollig (Opp Shopping Centre),232421,51.88785,-8.59717
7338653551721429471,Ballincollig (Rosenalee Care Centre),244191,51.88954,-8.57742
7338653551721429531,Ballincollig (Shopping Centre),244251,51.88801,-8.59634
7338653551721429491,Ballincollig (Station Cross),244211,51.88359,-8.58905
7338653551721429571,Ballincollig Town Centre (Garda St),244291,51.88807,-8.59077
7338653551721429511,Ballincollig West (Aylsbury Estate),244231,51.88354,-8.62105
7338653551721420441,Ballincollig West (Classes Lake Westboun,235161,51.88168,-8.6269
7338653551721484641,Ballincollig West (Classes Lake),299361,51.88184,-8.62694
7338653551721429621,Ballincollig West (Coolroe Heights),244341,51.8857,-8.61299
7338653551721429631,Ballincollig West (Old Quarry),244351,51.88575,-8.61699
7338653551721429561,Ballincollig West (Op White Horse Bar),244281,51.88628,-8.60814
7338653551721429551,Ballincollig West (Opp Aylsbury Estate),244271,51.88377,-8.62097
7338653551721431081,Ballincollig West (Opp Coolroe Heights),245801,51.8858,-8.61353
7338653551721431091,Ballincollig West (Opp Old Quarry),245811,51.88582,-8.61717
7338653551721429501,Ballincollig West (White Horse Bar),244221,51.8862,-8.6079
7338653551721337321,Ballincor (Barrindarrig Station),152041,52.91394,-6.11084
7338653551721337291,Ballincor (Opp Barrindarrig Station),152011,52.91392,-6.11057
7338653551721516061,Ballindaggin (Mountain View Est),330781,52.56854,-6.68116
7338653551721516071,Ballindaggin (Opposite Church),330791,52.5685,-6.68084
7338653551721715481,Ballinderreen (Eastbound),530201,53.18646,-8.90885
7338653551721715561,Ballinderreen (Westbound),530281,53.1867,-8.9085
7338653551721816391,Ballindine (Main Street Opps Vals),631111,53.66845,-8.95575
7338653551721816641,Ballindine (Main Street Vals),631361,53.66847,-8.9556
7338653551721524141,Ballindonney (English Cross Nth),338861,52.47772,-6.80687
7338653551721524131,Ballindonney (English Cross Sth),338851,52.47761,-6.80718
7338653551721816491,Ballindooley (Stores),631211,53.31364,-9.02297
7338653551721705641,Ballindooley Cross (Northbound),520361,53.31292,-9.02383
7338653551721783431,Ballinea (Daybreak),598151,53.50706,-7.42206
7338653551721783391,Ballinea (Opp Daybreak),598111,53.50692,-7.42258
7338653551721435591,Ballineen (Main St Foleys Pub),250311,51.73608,-8.94823
7338653551721400491,Ballineen (Main St Hennessy Trans),215211,51.73623,-8.9465
7338653551721519181,Ballingarry (Noonans Pub),333901,53.01854,-8.02965
7338653551721519191,Ballingarry (The Blue Pot),333911,53.01661,-8.03233
7338653551721420451,Ballingeary (Eastbound),235171,51.85165,-9.23042
7338653551721421291,Ballingeary (Westbound),236011,51.8515,-9.23056
7338653551721735611,Ballinglass Cross (Eastbound),550331,53.49515,-8.47277
7338653551721735591,Ballinglass Cross (Westbound),550311,53.49505,-8.47266
7338653551721395601,Ballinlough (Opp The Whitehouse Hotel),210321,53.74183,-8.63432
7338653551721336251,Ballinlough (Whitehouse Hotel),150971,53.74184,-8.63435
7338653551721474091,Ballinlough Road (Carrigmore Park),288811,51.88827,-8.43488
7338653551721428061,Ballinlough Road (Community Centre),242781,51.8896,-8.44609
7338653551721428321,Ballinlough Road (Knockrea),243041,51.89,-8.45392
7338653551721428091,Ballinlough Road (Opp Carrigmore Park),242811,51.88836,-8.43513
7338653551721428301,Ballinlough Road (Opp Community Centre),243021,51.88951,-8.44626
7338653551721428041,Ballinlough Road (Opp Knockrea Lawn),242761,51.89005,-8.45376
7338653551721428311,Ballinlough Road (Opp Our Lady Church),243031,51.89,-8.45127
7338653551721428051,Ballinlough Road (Opp Pic Du Jer Park),242771,51.88978,-8.44908
7338653551721428281,Ballinlough Road (Opp Shrewsbury Estate),243001,51.88842,-8.43982
7338653551721428071,Ballinlough Road (Opp Sundrive Park),242791,51.88926,-8.44297
7338653551721395311,Ballinlough Road (Our Lady Church),210031,51.88984,-8.45139
7338653551721428441,Ballinlough Road (Pic Du Jer Park),243161,51.88971,-8.44937
7338653551721428081,Ballinlough Road (Shrewsbury Estate),242801,51.88849,-8.43934
7338653551721428291,Ballinlough Road (Sundrive Park),243011,51.88914,-8.44302
7338653551721740191,Ballinode (Molloway Hill),554911,54.2759,-8.45917
7338653551721816581,Ballinrobe (Gibbons Glebe St),631301,53.62391,-9.22194
7338653551721705771,Ballinrobe (OConnors Main St ),520491,53.62393,-9.22243
7338653551721705671,Ballinrubbagh (Northbound),520391,53.4104,-9.01893
7338653551721735641,Ballinrubbagh (Southbound),550361,53.41041,-9.01888
7338653551721320911,Ballinter Cross (Northbound),135631,53.59825,-6.64171
7338653551721322801,Ballinter Cross (Southbound),137521,53.59849,-6.64215
7338653551721716601,Ballintober (Opp Post Office),531321,53.71776,-8.40924
7338653551721716591,Ballintober (Post Office),531311,53.71777,-8.40918
7338653551721715661,Ballintober Cross (Northbound),530381,53.73715,-8.4705
7338653551721715601,Ballintober Cross (Southbound),530321,53.73722,-8.47012
7338653551721744801,Ballintogher (Donegans),559521,54.20081,-8.36443
7338653551721744821,Ballintogher (Trestons),559541,54.20087,-8.36442
7338653551721816431,Ballintra (Cathederal St Jctn),631151,54.57807,-8.12501
7338653551721816611,Ballintra (Opp Cathederal St Jctn),631331,54.57811,-8.125
7338653551721744551,Ballintrillick (Creamery),559271,54.40062,-8.4048
7338653551721325411,Ballintrillick (Opp Creamery),140131,54.40059,-8.40469
7338653551721435421,Ballintubber Jctn Eastbound (Cork),250141,51.89615,-8.2543
7338653551721422781,Ballintubber Jctn Westbound (Cork),237501,51.89595,-8.25357
7338653551721422771,Ballintubber Rd (Westbound),237491,51.91216,-8.19457
7338653551721422541,Ballintubber Rd Cork (Eastbound),237261,51.91236,-8.19443
7338653551721429641,Ballinure Ave (St Michaels Cemetery),244361,51.88998,-8.40008
7338653551721743471,Ballisodare (Clancy Grocery),558191,54.21061,-8.50815
7338653551721743461,Ballisodare (Sally Gardens),558181,54.21042,-8.50832
7338653551721317311,Ballivor (Church),132031,53.5329,-6.96354
7338653551721288971,Ballivor (Opp Church),103691,53.53297,-6.96347
7338653551721537001,Ballon (Lucy Nolans),351721,52.73949,-6.76987
7338653551721536991,Ballon (Opp Lucy Nolans),351711,52.73947,-6.77004
7338653551721822031,Balloonagh (Opp Scoil Eoin Tralee),636751,52.27233,-9.71091
7338653551721286061,Ballough (Man of War),100781,53.53149,-6.19356
7338653551721285491,Ballough (Opp Man of War),100211,53.53352,-6.19561
7338653551721743921,Ballrdrohid (Southbound),558641,54.21921,-8.50097
7338653551721311291,Ballsgrove (No 230),126011,53.71168,-6.36146
7338653551721524611,Ballyanne (Northbound),339331,52.42318,-6.92363
7338653551721524791,Ballyanne (Southbound),339511,52.42349,-6.92365
7338653551721706621,Ballybane Ind Est (Entrance),521341,53.28954,-9.01269
7338653551721707321,Ballybane Ind Est.(Hewlett Packard),522041,53.29187,-9.00662
7338653551721708821,Ballybane Rd (John Paul Centre),523541,53.2806,-9.00724
7338653551721708601,Ballybane Rd (Opp Ard Aobhinn Drive),523321,53.28286,-9.01032
7338653551721708591,Ballybane Rd (Opp Shopping Centre),523311,53.28634,-9.01176
7338653551721708841,Ballybane Rd (Shopping Centre),523561,53.2851,-9.01108
7338653551721708831,Ballybane Rd (St James Rd),523551,53.28141,-9.00992
7338653551721537451,Ballybeg (Ballybeg Drive),352171,52.24322,-7.13542
7338653551721537461,Ballybeg (Ballybeg Park),352181,52.24374,-7.13206
7338653551721537421,Ballybeg (Clonard Park Terminus),352141,52.23908,-7.14802
7338653551721537431,Ballybeg (Community College),352151,52.24005,-7.14165
7338653551721537441,Ballybeg (Glencarra Estate),352161,52.24227,-7.13858
7338653551721537401,Ballybeg (Pitch & Putt),352121,52.2427,-7.15484
